method,target_sparsity,actual_sparsity,seed,memorized,grokked,memorization_step,grokking_step,grokking_gap,final_train_acc,final_val_acc,last_logged_step,live_confirmation_step,evals_from_live_confirmation,stopped_before_budget,weight_decay,n_grok_steps,summary_source,history_source
imp,0.9,0.9000019136558481,1,True,False,535,,,0.8888180272108843,0.8278427205100957,40000,,,False,1.0,40000,res/raw/exp_b_sp_90_95.zip!exp_b/imp/sp_0.90/seed_1/grok_phase/summary.json,res/raw/exp_b_sp_90_95.zip!exp_b/imp/sp_0.90/seed_1/grok_phase/history.json
imp,0.9,0.9000019136558481,2,True,False,20125,,,0.9793792517006803,0.934750265674814,40000,,,False,1.0,40000,res/raw/exp_b_sp_90_95.zip!exp_b/imp/sp_0.90/seed_2/grok_phase/summary.json,res/raw/exp_b_sp_90_95.zip!exp_b/imp/sp_0.90/seed_2/grok_phase/history.json
imp,0.9,0.9000019136558481,3,True,False,24325,,,0.9659863945578231,0.9304994686503719,40000,,,False,1.0,40000,res/raw/exp_b_sp_90_95.zip!exp_b/imp/sp_0.90/seed_3/grok_phase/summary.json,res/raw/exp_b_sp_90_95.zip!exp_b/imp/sp_0.90/seed_3/grok_phase/history.json
imp,0.9,0.9000019136558481,4,True,False,15925,,,0.98171768707483,0.936663124335813,40000,,,False,1.0,40000,res/raw/exp_b_sp_90_95.zip!exp_b/imp/sp_0.90/seed_4/grok_phase/summary.json,res/raw/exp_b_sp_90_95.zip!exp_b/imp/sp_0.90/seed_4/grok_phase/history.json
imp,0.95,0.9500009568279241,0,False,False,,,,0.7531887755102041,0.6320935175345377,40000,,,False,1.0,40000,res/raw/exp_b_sp_90_95.zip!exp_b/imp/sp_0.95/seed_0/grok_phase/summary.json,res/raw/exp_b_sp_90_95.zip!exp_b/imp/sp_0.95/seed_0/grok_phase/history.json
imp,0.95,0.9500009568279241,1,False,False,,,,0.7045068027210885,0.5921360255047822,40000,,,False,1.0,40000,res/raw/exp_b_sp_90_95.zip!exp_b/imp/sp_0.95/seed_1/grok_phase/summary.json,res/raw/exp_b_sp_90_95.zip!exp_b/imp/sp_0.95/seed_1/grok_phase/history.json
imp,0.95,0.9500009568279241,2,False,False,,,,0.7363945578231292,0.6480340063761956,40000,,,False,1.0,40000,res/raw/exp_b_sp_90_95.zip!exp_b/imp/sp_0.95/seed_2/grok_phase/summary.json,res/raw/exp_b_sp_90_95.zip!exp_b/imp/sp_0.95/seed_2/grok_phase/history.json
imp,0.95,0.9500009568279241,3,False,False,,,,0.70046768707483,0.6335812964930925,40000,,,False,1.0,40000,res/raw/exp_b_sp_90_95.zip!exp_b/imp/sp_0.95/seed_3/grok_phase/summary.json,res/raw/exp_b_sp_90_95.zip!exp_b/imp/sp_0.95/seed_3/grok_phase/history.json
imp,0.95,0.9500009568279241,4,False,False,,,,0.6203231292517006,0.5052072263549415,40000,,,False,1.0,40000,res/raw/exp_b_sp_90_95.zip!exp_b/imp/sp_0.95/seed_4/grok_phase/summary.json,res/raw/exp_b_sp_90_95.zip!exp_b/imp/sp_0.95/seed_4/grok_phase/history.json
one_shot,0.0,0.0,0,True,True,150,980,830,1.0,1.0,40000,985,1564,False,1.0,40000,res/raw/exp_b_sp_00_20_50.zip!exp_b/one_shot/sp_0.00/seed_0/grok_phase/summary.json,res/raw/exp_b_sp_00_20_50.zip!exp_b/one_shot/sp_0.00/seed_0/grok_phase/history.json
